03000000-1,,1,"Agricultural, farming, fishing, forestry and related products","",en
03100000-2,,2,Agricultural and horticultural products,03000000-1,en
03110000-5,,3,"Crops, products of market gardening and horticulture",03100000-2,en
03111000-2,,4,Seeds,03110000-5,en
03111100-3,,4,Soya beans,03110000-5,en
03111200-4,,4,Peanuts,03110000-5,en
03111300-5,,4,Sunflower seeds,03110000-5,en
03111400-6,,4,Cotton seeds,03110000-5,en
03111500-7,,4,Sesame seeds,03110000-5,en
03111600-8,,4,Mustard seeds,03110000-5,en
03111700-9,,4,Vegetable seeds,03110000-5,en
03111800-0,,4,Fruit seeds,03110000-5,en
03111900-1,,4,Flower seeds,03110000-5,en
03112000-9,,4,Unmanufactured tobacco,03110000-5,en
03113000-6,,4,Plants used for sugar manufacturing,03110000-5,en
03113100-7,,4,Sugar beet,03110000-5,en
03113200-8,,4,Sugar cane,03110000-5,en
03114000-3,,4,Straw and forage,03110000-5,en
0311en00-4,,4,Straw,03110000-5,en
03114200-5,,4,Forage,03110000-5,en
03115000-0,,4,Raw vegetable materials,03110000-5,en
03115100-1,,4,Raw vegetable materials used in textile production,03110000-5,en
03115110-4,,4,Cotton,03110000-5,en
03115120-7,,4,Jute,03110000-5,en
03115130-0,,4,Flax,03110000-5,en
03116000-7,,4,"Natural rubber and latex, and associated products",03110000-5,en
03116100-8,,4,Natural rubber,03110000-5,en
03116200-9,,4,Natural latex,03110000-5,en
03116300-0,,4,Latex products,03110000-5,en
03117000-4,,4,Plants used in specific fields,03110000-5,en
03117100-5,,4,"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes",03110000-5,en
03117110-8,,4,Plants used in perfumery,03110000-5,en
03117120-1,,4,Plants used in pharmacy,03110000-5,en
03117130-4,,4,Plants used for insecticidal purposes,03110000-5,en
03117140-7,,4,Plants used for fungicidal or similar purposes,03110000-5,en
03117200-6,,4,Seeds of plants used in specific fields,03110000-5,en
03120000-8,,3,Horticultural and nursery products,03100000-2,en
03121000-5,,4,Horticultural products,03120000-8,en
03121100-6,,4,"Live plants, bulbs, roots, cuttings and slips",03120000-8,en
03121200-7,,4,Cut flowers,03120000-8,en
03121210-0,,4,Floral arrangements,03120000-8,en
03130000-1,,3,Beverage and spice crops,03100000-2,en
03131000-8,,4,Beverage crops,03130000-1,en
03131100-9,,4,Coffee beans,03130000-1,en
03131200-0,,4,Tea bushes,03130000-1,en
03131300-1,,4,Mate,03130000-1,en
03131400-2,,4,Cocoa beans,03130000-1,en
03132000-5,,4,Unprocessed spices,03130000-1,en
03140000-4,,3,Animal products and related products,03100000-2,en
031en000-1,,4,Bulls semen,03140000-4,en
03142000-8,,4,Animal products,03140000-4,en
03142100-9,,4,Natural honey,03140000-4,en
03142200-0,,4,Snails,03140000-4,en
03142300-1,,4,Edible products of animal origin,03140000-4,en
03142400-2,,4,Waxes,03140000-4,en
03142500-3,,4,Eggs,03140000-4,en
03143000-5,,4,Products of mixed farming,03140000-4,en
03144000-2,,4,Agricultural supplies,03140000-4,en
03200000-3,,2,"Cereals, potatoes, vegetables, fruits and nuts",03000000-1,en
03210000-6,,3,Cereals and potatoes,03200000-3,en
03211000-3,,4,Cereals,03210000-6,en
03211100-4,,4,Wheat,03210000-6,en
03211110-7,,4,Durum wheat,03210000-6,en
03211120-0,,4,Soft wheat,03210000-6,en
03211200-5,,4,Maize,03210000-6,en
03211300-6,,4,Rice,03210000-6,en
03211400-7,,4,Barley,03210000-6,en
03211500-8,,4,Rye,03210000-6,en
03211600-9,,4,Oats,03210000-6,en
03211700-0,,4,Malt,03210000-6,en
03211900-2,,4,Grain products,03210000-6,en
