03000000-1;1;;Agricultural, farming, fishing, forestry and related products;;en;goods
03100000-2;1;;Agricultural and horticultural products;03000000-1;en;goods
03110000-5;1;;Crops, products of market gardening and horticulture;03100000-2;en;goods
03111000-2;1;;Seeds;03110000-5;en;goods
03111100-3;0;;Soya beans;03111000-2;en;goods
03111200-4;0;;Peanuts;03111000-2;en;goods
03111300-5;0;;Sunflower seeds;03111000-2;en;goods
03111400-6;0;;Cotton seeds;03111000-2;en;goods
03111500-7;0;;Sesame seeds;03111000-2;en;goods
03111600-8;0;;Mustard seeds;03111000-2;en;goods
03111700-9;0;;Vegetable seeds;03111000-2;en;goods
03111800-0;0;;Fruit seeds;03111000-2;en;goods
03111900-1;0;;Flower seeds;03111000-2;en;goods
03112000-9;0;;Unmanufactured tobacco;03110000-5;en;goods
03113000-6;1;;Plants used for sugar manufacturing;03110000-5;en;goods
03113100-7;0;;Sugar beet;03113000-6;en;goods
03113200-8;0;;Sugar cane;03113000-6;en;goods
03114000-3;1;;Straw and forage;03110000-5;en;goods
03114100-4;0;;Straw;03114000-3;en;goods
03114200-5;0;;Forage;03114000-3;en;goods
03115000-0;1;;Raw vegetable materials;03110000-5;en;goods
03115100-1;0;;Raw vegetable materials used in textile production;03115000-0;en;goods
03115110-4;0;;Cotton;03115000-0;en;goods
03115120-7;0;;Jute;03115000-0;en;goods
03115130-0;0;;Flax;03115000-0;en;goods
03116000-7;1;;Natural rubber and latex, and associated products;03110000-5;en;goods
03116100-8;0;;Natural rubber;03116000-7;en;goods
03116200-9;0;;Natural latex;03116000-7;en;goods
03116300-0;0;;Latex products;03116000-7;en;goods
03117000-4;1;;Plants used in specific fields;03110000-5;en;goods
03117100-5;0;;Plants used in perfumery or pharmacy, or for insecticidal or similar purposes;03117000-4;en;goods
03117110-8;0;;Plants used in perfumery;03117000-4;en;goods
03117120-1;0;;Plants used in pharmacy;03117000-4;en;goods
03117130-4;0;;Plants used for insecticidal purposes;03117000-4;en;goods
03117140-7;0;;Plants used for fungicidal or similar purposes;03117000-4;en;goods
03117200-6;0;;Seeds of plants used in specific fields;03117000-4;en;goods
03120000-8;1;;Horticultural and nursery products;03100000-2;en;goods
03121000-5;1;;Horticultural products;03120000-8;en;goods
03121100-6;0;;Live plants, bulbs, roots, cuttings and slips;03121000-5;en;goods
03121200-7;0;;Cut flowers;03121000-5;en;goods
03121210-0;0;;Floral arrangements;03121000-5;en;goods
03130000-1;1;;Beverage and spice crops;03100000-2;en;goods
03131000-8;1;;Beverage crops;03130000-1;en;goods
03131100-9;0;;Coffee beans;03131000-8;en;goods
03131200-0;0;;Tea bushes;03131000-8;en;goods
03131300-1;0;;Maté;03131000-8;en;goods
03131400-2;0;;Cocoa beans;03131000-8;en;goods
03132000-5;0;;Unprocessed spices;03130000-1;en;goods
03140000-4;1;;Animal products and related products;03100000-2;en;goods
03141000-1;0;;Bulls' semen;03140000-4;en;goods
03142000-8;1;;Animal products;03140000-4;en;goods
03142100-9;0;;Natural honey;03142000-8;en;goods
03142200-0;0;;Snails;03142000-8;en;goods
03142300-1;0;;Edible products of animal origin;03142000-8;en;goods
03142400-2;0;;Waxes;03142000-8;en;goods
03142500-3;0;;Eggs;03142000-8;en;goods
03143000-5;0;;Products of mixed farming;03140000-4;en;goods
