AA01-1;Metal;Metal;en;;
AA02-4;Aluminium;Aluminium;en;;
AA03-7;Bronze;Bronze;en;;
AA04-0;Copper;Copper;en;;
AA05-3;Iron;Iron;en;;
AA06-6;Lead;Lead;en;;
AA07-9;Nickel;Nickel;en;;
AA08-2;Tin;Tin;en;;
AA09-5;Zinc;Zinc;en;;
AA10-8;Alloy;Alloy;en;;
AA11-1;Steel;Steel;en;;
AA12-4;Carbon-steel;Carbon-steel;en;;
AA13-7;Vanadium;Vanadium;en;;
AA14-0;Chromium;Chromium;en;;
AA15-3;Manganese;Manganese;en;;
AA16-6;Cobalt;Cobalt;en;;
AA17-9;Yttrium;Yttrium;en;;
AA18-2;Zirconium;Zirconium;en;;
AA19-5;Molybdenum;Molybdenum;en;;
AA20-8;Technetium;Technetium;en;;
AA21-1;Ruthenium;Ruthenium;en;;
AA22-4;Rhodium;Rhodium;en;;
AA23-7;Cadmium;Cadmium;en;;
AA24-0;Lutetium;Lutetium;en;;
AA25-3;Hafnium;Hafnium;en;;
AA26-6;Tantalum;Tantalum;en;;
AA27-9;Tungsten;Tungsten;en;;
AA28-2;Iridium;Iridium;en;;
AA29-5;Gallium;Gallium;en;;
AA30-8;Indium;Indium;en;;
AA31-1;Thallium;Thallium;en;;
AA32-4;Barium;Barium;en;;
AA33-7;Caesium;Caesium;en;;
AA34-0;Strontium;Strontium;en;;
AA35-3;Rubidium;Rubidium;en;;
AA36-6;Calcium;Calcium;en;;
AA37-9;Potassium;Potassium;en;;
AA38-2;Sodium;Sodium;en;;
AA39-5;Lithium;Lithium;en;;
AA40-8;Niobium;Niobium;en;;
AA41-1;Osmium;Osmium;en;;
AA42-4;Rhenium;Rhenium;en;;
AA43-7;Palladium;Palladium;en;;
AA44-0;Brass;Brass;en;;
AA45-3;Gold;Gold;en;;
AA46-6;Silver;Silver;en;;
AA47-9;Platinum;Platinum;en;;
AA48-2;Magnesium;Magnesium;en;;
AB02-5;Ceramic;Ceramic;en;;
AB03-8;Porcelain or china ceramic;Porcelain or china ceramic;en;;
AB04-1;Clay;Clay;en;;
AB05-4;Concrete;Concrete;en;;
AB06-7;Plastic;Plastic;en;;
AB07-0;Polyester;Polyester;en;;
AB08-3;Polyethene (Polyethylene);Polyethene (Polyethylene);en;;
AB09-6;Polystyrene;Polystyrene;en;;
AB11-2;PVC;PVC;en;;
AB12-5;Rubber;Rubber;en;;
AB13-8;Wooden;Wooden;en;;
AB14-1;Coniferous wood;Coniferous wood;en;;
AB15-4;Tropical wood;Tropical wood;en;;
AB16-7;Bamboo;Bamboo;en;;
AB17-0;Cork;Cork;en;;
AB18-3;Paper;Paper;en;;
AB19-6;Leather;Leather;en;;
AB20-9;Fibreglass;Fibreglass;en;;
AB21-2;Glass;Glass;en;;
AB22-5;Glass inners;Glass inners;en;;
AB23-8;Glass parts;Glass parts;en;;
AB24-1;Textile;Textile;en;;
AB25-4;Synthetic;Synthetic;en;;
AB26-7;Timber;Timber;en;;
AB27-0;Stone;Stone;en;;
AB28-3;Marble;Marble;en;;
AB29-6;Precious stones;Precious stones;en;;
AB30-9;Wool;Wool;en;;
AB31-2;Silk;Silk;en;;
AB32-5;Linen;Linen;en;;
AB33-8;Cotton;Cotton;en;;
AB34-1;Terrazzo;Terrazzo;en;;
AB35-4;Granite;Granite;en;;
AB36-7;Slate;Slate;en;;
AB37-0;Carbon;Carbon;en;;
BA01-2;Live;Live;en;;
BA02-5;Natural;Natural;en;;
BA03-8;Artificial;Artificial;en;;
BA04-1;Fresh;Fresh;en;;
BA05-4;Cold;Cold;en;;
BA06-7;Hot;Hot;en;;
BA07-0;Liquid;Liquid;en;;
BA08-3;Solid;Solid;en;;
BA09-6;Gas;Gas;en;;
BA10-9;Crude;Crude;en;;
BA11-2;Dry;Dry;en;;
BA12-5;Hard;Hard;en;;
BA13-8;Soft;Soft;en;;
BA14-1;Dust/powder;Dust/powder;en;;
BA15-4;Residues;Residues;en;;
BA16-7;Flakes;Flakes;en;;
BA17-0;Bars;Bars;en;;
BA18-3;Ash;Ash;en;;
BA19-6;Granules;Granules;en;;
BA20-9;Ingots;Ingots;en;;
BA22-5;Rods;Rods;en;;
BA23-8;Unwrought;Unwrought;en;;
BA24-1;Frozen;Frozen;en;;
BA25-4;Deep-frozen;Deep-frozen;en;;
BA26-7;Folded;Folded;en;;
BA27-0;Forged;Forged;en;;
BA28-3;Freeze-dried;Freeze-dried;en;;
BA29-6;Flat-rolled;Flat-rolled;en;;
BA30-9;Dried;Dried;en;;
BA31-2;Grated;Grated;en;;
