MD AIN;;Anenii Noi;UN/LOCDE;locality;;MD;en
MD BEL;;Balti (Bel'cy);UN/LOCDE;locality;;MD;en
MD BAS;;Basarabeasca;UN/LOCDE;locality;;MD;en
MD TBY;;Bendery;UN/LOCDE;locality;;MD;en
MD BRS;;Berestovitsa;UN/LOCDE;locality;;MD;en
MD BOL;;Bolotino;UN/LOCDE;locality;;MD;en
MD RCN;;Briceni;UN/LOCDE;locality;;MD;en
MD BOA;;Bulboaca;UN/LOCDE;locality;;MD;en
MD BUL;;Bulboaca;UN/LOCDE;locality;;MD;en
MD CAH;;Cahul;UN/LOCDE;locality;;MD;en
MD CAL;;Calarasi;UN/LOCDE;locality;;MD;en
MD CAN;;Cantemir;UN/LOCDE;locality;;MD;en
MD CNI;;Causeni;UN/LOCDE;locality;;MD;en
MD CAZ;;Cazaclia;UN/LOCDE;locality;;MD;en
MD CLA;;Ceadir-Lunga;UN/LOCDE;locality;;MD;en
MD KIV;;Chisinau(ex Kishinev) ;UN/LOCDE;locality;;MD;en
MD CML;;Cimislia;UN/LOCDE;locality;;MD;en
MD COM;;Comrat;UN/LOCDE;locality;;MD;en
MD CRI;;Cricova;UN/LOCDE;locality;;MD;en
MD CRE;;Criuleni;UN/LOCDE;locality;;MD;en
MD DUB;;Dubasari;UN/LOCDE;locality;;MD;en
MD ETL;;Etulia;UN/LOCDE;locality;;MD;en
MD FLT;;Falesti;UN/LOCDE;locality;;MD;en
MD FLO;;Floresti;UN/LOCDE;locality;;MD;en
MD GIU;;Giurgiulesti;UN/LOCDE;locality;;MD;en
MD HIM;;Hincesti;UN/LOCDE;locality;;MD;en
MD MJN;;Ialoveni;UN/LOCDE;locality;;MD;en
MD MKO;;Kupchino;UN/LOCDE;locality;;MD;en
MD NSP;;Lapusna;UN/LOCDE;locality;;MD;en
MD LEO;;Leova;UN/LOCDE;locality;;MD;en
MD LEU;;Leusheny;UN/LOCDE;locality;;MD;en
MD NIS;;Nisporeni;UN/LOCDE;locality;;MD;en
MD ORH;;Orhei;UN/LOCDE;locality;;MD;en
MD PSI;;Pleseni;UN/LOCDE;locality;;MD;en
MD PUR;;Purcari;UN/LOCDE;locality;;MD;en
MD REV;;Revaca;UN/LOCDE;locality;;MD;en
MD RIB;;Ribnita;UN/LOCDE;locality;;MD;en
MD XXX;;RIS Inland waterways;UN/LOCDE;locality;;MD;en
MD SCT;;Salcuta;UN/LOCDE;locality;;MD;en
MD SOR;;Soroca;UN/LOCDE;locality;;MD;en
MD STV;;Stefan-Voda;UN/LOCDE;locality;;MD;en
MD STR;;Straseni;UN/LOCDE;locality;;MD;en
MD TAR;;Taraclia;UN/LOCDE;locality;;MD;en
MD TCA;;Taraclia;UN/LOCDE;locality;;MD;en
MD TEL;;Telenesti;UN/LOCDE;locality;;MD;en
MD TIR;;Tiraspol;UN/LOCDE;locality;;MD;en
MD UNG;;Ungeny;UN/LOCDE;locality;;MD;en
MD VTG;;Vatra;UN/LOCDE;locality;;MD;en
MD VLC;;Vulcanesti;UN/LOCDE;locality;;MD;en
MD VUL;;Vulcanesti;UN/LOCDE;locality;;MD;en
MD AIN;;Anenii Noi;UN/LOCDE;locality;;MD;ro
MD BEL;;Balti (Bel'cy);UN/LOCDE;locality;;MD;ro
MD BAS;;Basarabeasca;UN/LOCDE;locality;;MD;ro
MD TBY;;Bendery;UN/LOCDE;locality;;MD;ro
MD BRS;;Berestovitsa;UN/LOCDE;locality;;MD;ro
MD BOL;;Bolotino;UN/LOCDE;locality;;MD;ro
MD RCN;;Briceni;UN/LOCDE;locality;;MD;ro
MD BOA;;Bulboaca;UN/LOCDE;locality;;MD;ro
MD BUL;;Bulboaca;UN/LOCDE;locality;;MD;ro
MD CAH;;Cahul;UN/LOCDE;locality;;MD;ro
MD CAL;;Calarasi;UN/LOCDE;locality;;MD;ro
MD CAN;;Cantemir;UN/LOCDE;locality;;MD;ro
MD CNI;;Causeni;UN/LOCDE;locality;;MD;ro
MD CAZ;;Cazaclia;UN/LOCDE;locality;;MD;ro
MD CLA;;Ceadir-Lunga;UN/LOCDE;locality;;MD;ro
MD KIV;;Chisinau(ex Kishinev) ;UN/LOCDE;locality;;MD;ro
MD CML;;Cimislia;UN/LOCDE;locality;;MD;ro
MD COM;;Comrat;UN/LOCDE;locality;;MD;ro
MD CRI;;Cricova;UN/LOCDE;locality;;MD;ro
MD CRE;;Criuleni;UN/LOCDE;locality;;MD;ro
MD DUB;;Dubasari;UN/LOCDE;locality;;MD;ro
MD ETL;;Etulia;UN/LOCDE;locality;;MD;ro
MD FLT;;Falesti;UN/LOCDE;locality;;MD;ro
MD FLO;;Floresti;UN/LOCDE;locality;;MD;ro
MD GIU;;Giurgiulesti;UN/LOCDE;locality;;MD;ro
MD HIM;;Hincesti;UN/LOCDE;locality;;MD;ro
MD MJN;;Ialoveni;UN/LOCDE;locality;;MD;ro
